,Pid,Time,UnixTimes,Thermal_sensation,Thermal_preference,Clothing,HRStdDev,HRAvg,tempStdDev,tempAvg,EDAStdDev,EDAAvg,Engage_1,Engage_2,Engage_3,Engage_4,Engage_5,Arousal,Valence,Confidence_level
0,23,29/10/2019 9:02,1572300120,2,Cooler,"Shirt,Skirt",15.1310352146068,86.03949166666668,1.31948957105631,29.899940302651675,0.07017114029300625,0.047588436345966954,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,3,4,3.0
1,23,29/10/2019 12:22,1572312120,0,No change,"Shirt,Skirt",15.801215475015828,88.40332121212121,0.5292496211291986,30.201127272727273,0.021372206981338963,0.031806372348484845,Strongly agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,1,3,3.0
2,23,1/11/2019 12:41,1572572460,-1,Warmer,"Shirt,Shorts",6.605281087272691,82.65860303030304,0.6212686858425964,35.39876666666667,1.7071564620148916,3.3738266678030304,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,1,2,3.0
3,22,28/10/2019 11:27,1572222420,0,No change,"Shirt,Jumper,Shorts,Other",16.500167095925587,83.50615151515152,1.5419112303061246,30.14171212121212,0.06280650813485261,0.2529629056818182,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,1,3,3.0
4,22,28/10/2019 15:27,1572236820,0,No change,"Shirt,Shorts",10.000340814742112,83.29099393939394,0.5167043134921833,33.973845454545454,0.07111988491673772,0.29196446704545453,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,1,2,3.0
5,22,29/10/2019 11:30,1572309000,0,No change,"Shirt,Pants,Shorts",8.919770431260115,86.44497878787881,0.6384030022741314,32.375166666666665,0.8496076857460874,0.7828900056818182,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,3,4,3.0
6,22,29/10/2019 12:13,1572311580,0,No change,"Shirt,Pants,Shorts",9.842698247253736,87.75993636363637,0.9000449551245657,32.965339393939395,0.8576100663724043,0.6557733878030303,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,2,4,3.0
7,22,29/10/2019 15:34,1572323640,0,No change,"Shirt,Pants,Shorts",3.423778939918103,82.04549393939394,0.26133310088931666,36.1224,0.08904713721614349,0.5583730279545455,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,1,2,3.0
8,22,31/10/2019 11:04,1572480240,0,No change,"Shirt,Jumper,Shorts",17.554589391596213,83.38725454545457,0.6592120255702186,33.88004848484849,0.03209440868878544,0.19238764727272728,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,2,4,3.0
9,22,18/11/2019 13:25,1574043900,0,No change,"Shirt,Jumper,Shorts",12.799841254363313,78.52796363636364,0.8816805596869581,32.85246363636364,0.021856003394096532,0.1884929075,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,2,4,3.0
10,22,18/11/2019 15:17,1574050620,0,No change,"Shirt,Shorts",17.05417671909581,82.9093090909091,0.4368926975789413,34.91657272727273,0.9379580704656955,0.7123626382575756,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,2,4,3.0
11,22,20/11/2019 15:38,1574224680,0,No change,"Shirt,Pants",18.93670647200947,82.43638484848485,0.2995902201796995,35.01921212121212,0.0445784279385757,0.21042951803030302,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,1,3,3.0
12,21,28/10/2019 10:53,1572220380,0,No change,"Shirt,Shorts",12.896484826414632,87.33563333333335,0.49100049184876327,27.887478787878784,0.09232135571790784,0.28486870833333333,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,1,2,3.0
13,21,28/10/2019 14:23,1572232980,0,No change,"Shirt,Shorts",11.189645331178594,89.77653333333333,0.518388469607839,30.36391515151515,0.9568824484983863,2.143751984242424,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,3,1,3.0
14,21,28/10/2019 15:34,1572237240,0,No change,"Shirt,Shorts",13.316274329854515,92.34014545454545,0.5882570098383932,32.46805454545454,0.5945784715069173,2.1816018213636363,Somewhat agree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,3,3,3.0
15,21,29/10/2019 11:29,1572308940,0,No change,"Shirt,Shorts",17.034325615782937,95.65599090909092,0.9004082656034071,31.499596969696974,2.0984210454966994,4.323027790378788,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,1,2,3.0
16,21,29/10/2019 13:25,1572315900,0,No change,"Shirt,Shorts",11.33712919128389,88.2750515151515,0.5135672603240643,32.66455757575758,0.6886333301577825,1.2711256258333332,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,1,2,3.0
17,21,29/10/2019 15:01,1572321660,1,Cooler,"Shirt,Shorts",13.53275034071398,99.3547909090909,1.221936076293167,34.55277575757576,3.6769258216468184,7.4003285324242425,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat disagree,3,4,3.0
18,21,30/10/2019 13:46,1572403560,2,Cooler,"Shirt,Pants,Shorts",14.8178112820331,93.90276363636363,0.5755658353079004,34.21052727272727,3.547718577101334,8.205223907121214,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,1,2,3.0
19,21,30/10/2019 15:32,1572409920,2,Cooler,"Shirt,Pants,Shorts",12.59082680316121,93.24354545454545,0.9393899260756109,34.557448484848486,7.380447175063908,18.51520533628788,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,4,3,3.0
